,Meltpond_index,Latitude,Longtitude,b08_NIR,b04_red,b03_green,b02_blue,Depth[m],Time_sentinel,Time_ICESat,b08_NIR_left_neighbor,b04_red_left_neighbor,b03_green_left_neighbor,b02_blue_left_neighbor,b08_NIR_right_neighbor,b04_red_right_neighbor,b03_green_right_neighbor,b02_blue_right_neighbor
58,3.0,81.90625547972859,-16.513847339831287,1073.0,2936.0,5460.0,6176.0,-0.963466596392929,2021-07-06 16:29:01,2021-07-06 16:08:15,1081.0,2966.0,5580.0,6392.0,1075.0,2782.0,5348.0,6112.0
59,3.0,81.90635172616828,-16.51443232808117,1075.0,2782.0,5348.0,6112.0,-0.9380728300170676,2021-07-06 16:29:01,2021-07-06 16:08:15,1073.0,2936.0,5460.0,6176.0,1085.0,2806.0,5256.0,6016.0
60,3.0,81.90644103589653,-16.51438306688024,1085.0,2806.0,5256.0,6016.0,-0.924607048974729,2021-07-06 16:29:01,2021-07-06 16:08:15,1075.0,2782.0,5348.0,6112.0,1118.0,2892.0,5416.0,6068.0
61,3.0,81.90653034561836,-16.51433380458858,1118.0,2892.0,5416.0,6068.0,-0.961856397374026,2021-07-06 16:29:01,2021-07-06 16:08:15,1085.0,2806.0,5256.0,6016.0,1114.0,2738.0,5200.0,5856.0
62,3.0,81.90653728157736,-16.51496807476478,1114.0,2738.0,5200.0,5856.0,-0.8519556762609454,2021-07-06 16:29:01,2021-07-06 16:08:15,1118.0,2892.0,5416.0,6068.0,1118.0,2842.0,5364.0,6004.0
63,3.0,81.9066265913703,-16.51491881829117,1118.0,2842.0,5364.0,6004.0,-0.8175466337676569,2021-07-06 16:29:01,2021-07-06 16:08:15,1114.0,2738.0,5200.0,5856.0,1096.0,2906.0,5400.0,6152.0
64,3.0,81.90671590115683,-16.514869560726964,1096.0,2906.0,5400.0,6152.0,-0.884684884255096,2021-07-06 16:29:01,2021-07-06 16:08:15,1118.0,2842.0,5364.0,6004.0,1132.0,3050.0,5576.0,6348.0
65,3.0,81.90680521093694,-16.514820302072078,1132.0,3050.0,5576.0,6348.0,-0.8579330735508992,2021-07-06 16:29:01,2021-07-06 16:08:15,1096.0,2906.0,5400.0,6152.0,1132.0,3050.0,5576.0,6348.0
66,3.0,81.90681214614986,-16.515454594065712,1132.0,3050.0,5576.0,6348.0,-0.8120766066862886,2021-07-06 16:29:01,2021-07-06 16:08:15,1132.0,3050.0,5576.0,6348.0,1162.0,3138.0,5604.0,6400.0
67,3.0,81.90690145600107,-16.515405341229435,1162.0,3138.0,5604.0,6400.0,-0.8024409810447566,2021-07-06 16:29:01,2021-07-06 16:08:15,1132.0,3050.0,5576.0,6348.0,1168.0,3154.0,5540.0,6172.0
